time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-04-29T16:21:35.597Z,59.3905,-136.9647,47.5,2.3,ml,,,,1.25,ak,ak0205iq55pz,2020-04-29T16:25:54.622Z,"88km WNW of Haines, Alaska",earthquake,,4.4,,,automatic,ak,ak
2020-04-29T16:04:31.434Z,-23.2923,-66.7238,201.43,4.8,mww,,47,1.381,0.78,us,us60009esk,2020-04-29T16:24:00.040Z,"105km W of El Aguilar, Argentina",earthquake,3.5,6.1,0.075,17,reviewed,us,us
2020-04-29T16:00:50.310Z,38.033,-118.7607,2.1,1.3,ml,9,163.03,0.305,0.16,nn,nn00723970,2020-04-29T16:04:46.999Z,"46km NNE of Mammoth Lakes, California",earthquake,,2,,,automatic,nn,nn
2020-04-29T15:56:11.290Z,38.1593,-118.796,0.8,1.5,ml,9,106.62,0.244,0.08,nn,nn00723968,2020-04-29T16:02:48.376Z,"39km ESE of Bridgeport, California",earthquake,,9.3,,,automatic,nn,nn
2020-04-29T15:47:02.516Z,-17.2766,-173.7887,28.84,4.9,mb,,93,4.084,0.72,us,us60009es9,2020-04-29T16:07:09.040Z,"146km S of Hihifo, Tonga",earthquake,14.2,6.4,0.045,157,reviewed,us,us
2020-04-29T15:42:27.990Z,33.4971667,-116.5031667,10.29,0.66,ml,25,58,0.06451,0.18,ci,ci39409968,2020-04-29T15:46:17.833Z,"17km ESE of Anza, CA",earthquake,0.28,0.58,0.157,18,automatic,ci,ci
2020-04-29T15:40:29.780Z,38.8185005,-122.7884979,1.62,0.61,md,16,78,0.00804,0.03,nc,nc73378200,2020-04-29T16:09:03.692Z,"5km NNW of The Geysers, CA",earthquake,0.26,0.57,0.35,2,automatic,nc,nc
2020-04-29T15:31:43.140Z,38.8138351,-122.8186646,2.74,0.75,md,17,53,0.009595,0.02,nc,nc73378195,2020-04-29T15:58:06.631Z,"7km NW of The Geysers, CA",earthquake,0.28,0.65,0.15,2,automatic,nc,nc
2020-04-29T15:28:16.050Z,33.7243333,-117.0311667,14.14,0.61,ml,18,80,0.02953,0.16,ci,ci39409936,2020-04-29T15:31:57.797Z,"4km ESE of Green Acres, CA",earthquake,0.51,0.57,0.191,12,automatic,ci,ci
2020-04-29T15:19:55.755Z,61.3454,-152.235,8,0,ml,,,,1.68,ak,ak0205ipjc9a,2020-04-29T15:23:37.410Z,"89km NW of Nikiski, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-04-29T15:11:26.834Z,59.7891,-152.3526,71.4,1,ml,,,,0.08,ak,ak0205iphka3,2020-04-29T15:14:44.403Z,"29km W of Anchor Point, Alaska",earthquake,,1.4,,,automatic,ak,ak
2020-04-29T15:02:34.465Z,60.0105,-152.7528,88.9,2.7,ml,,,,0.56,ak,ak0205ipfnft,2020-04-29T15:16:25.262Z,"52km S of Redoubt Volcano, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-04-29T14:53:35.920Z,33.5233333,-116.5001667,14.93,1.29,ml,14,58,0.04271,0.28,ci,ci39409872,2020-04-29T14:57:17.168Z,"16km ESE of Anza, CA",earthquake,0.78,1.04,0.424,17,automatic,ci,ci
2020-04-29T14:36:25.660Z,19.4073334,-155.276001,0.01,1.84,md,20,36,0.01211,0.1,hv,hv71493012,2020-04-29T14:39:46.730Z,"4km WSW of Volcano, Hawaii",earthquake,0.16,0.18,0.33,16,automatic,hv,hv
2020-04-29T14:26:40.072Z,61.345,-147.6228,0,1.7,ml,,,,0.93,ak,ak0205iozdds,2020-04-29T14:31:30.417Z,"72km WNW of Valdez, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-04-29T14:20:58.530Z,35.884,-117.7226667,1.44,0.55,ml,8,64,0.08272,0.15,ci,ci39409832,2020-04-29T14:24:43.956Z,"18km ESE of Little Lake, CA",earthquake,0.35,0.83,0.162,5,automatic,ci,ci
2020-04-29T14:11:24.110Z,47.764,-122.48,21.1,1.7,ml,9,140,0.2946,0.17,uw,uw61605967,2020-04-29T16:13:48.870Z,"3km ENE of Indianola, Washington",earthquake,0.7,2.64,0.159325603169645,6,reviewed,uw,uw
2020-04-29T13:59:53.950Z,17.9203,-66.7931,9,2.5,md,13,219,0.1021,0.2,pr,pr2020120022,2020-04-29T14:36:19.241Z,"8km SSE of Indios, Puerto Rico",earthquake,0.84,0.69,0.23,8,reviewed,pr,pr
2020-04-29T13:57:09.110Z,38.8110008,-122.8221664,2.13,1.87,md,30,59,0.005877,0.03,nc,nc73378155,2020-04-29T16:07:03.681Z,"7km WNW of The Geysers, CA",earthquake,0.19,0.3,0.11,9,automatic,nc,nc
2020-04-29T13:29:13.010Z,19.1346,-67.1788,7,3.58,md,18,226,0.6705,0.36,pr,pr2020120021,2020-04-29T14:55:11.212Z,"71km N of San Antonio, Puerto Rico",earthquake,1.56,1.78,0.07,10,reviewed,pr,pr
2020-04-29T13:27:29.310Z,36.0111656,-120.5738297,1.65,1,md,11,110,0.03023,0.1,nc,nc73378150,2020-04-29T13:44:02.842Z,"18km NW of Parkfield, CA",earthquake,0.49,1.23,0.09,2,automatic,nc,nc
2020-04-29T13:19:30.250Z,35.8006667,-117.6185,7.06,0.87,ml,13,94,0.02274,0.15,ci,ci39409776,2020-04-29T13:23:03.358Z,"20km W of Searles Valley, CA",earthquake,0.41,0.61,0.144,10,automatic,ci,ci
2020-04-29T13:11:02.460Z,35.7915,-117.6185,6.54,2.75,ml,31,53,0.0296,0.17,ci,ci39409760,2020-04-29T13:21:25.440Z,"20km W of Searles Valley, CA",earthquake,0.24,0.58,0.151,25,automatic,ci,ci
2020-04-29T13:04:29.340Z,17.943,-66.8203,9,2.7,md,9,218,0.0671,0.26,pr,pr2020120020,2020-04-29T14:42:09.185Z,"5km S of Indios, Puerto Rico",earthquake,0.91,1.36,0.04,4,reviewed,pr,pr
2020-04-29T12:59:24.930Z,38.8423347,-122.8391647,2.08,0.7,md,20,91,0.004716,0.02,nc,nc73378135,2020-04-29T13:24:02.719Z,"10km NW of The Geysers, CA",earthquake,0.23,0.49,0.14,3,automatic,nc,nc
2020-04-29T12:57:47.660Z,38.8321648,-122.8191681,1.91,0.89,md,15,51,0.01128,0.02,nc,nc73378130,2020-04-29T13:13:02.653Z,"8km NW of The Geysers, CA",earthquake,0.25,0.72,,1,automatic,nc,nc
2020-04-29T12:50:11.440Z,35.9115,-117.7336667,7.89,1.45,ml,20,53,0.07674,0.1,ci,ci39409728,2020-04-29T13:08:42.470Z,"16km E of Little Lake, CA",earthquake,0.2,0.65,0.241,20,reviewed,ci,ci
2020-04-29T12:47:31.833Z,64.8087,-147.4925,0,1.3,ml,,,,0.72,ak,ak0205inwzpu,2020-04-29T12:52:07.325Z,"2km ENE of Badger, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-04-29T12:37:14.790Z,33.5016667,-116.7835,7.52,0.29,ml,19,67,0.07436,0.19,ci,ci39409720,2020-04-29T12:41:04.184Z,"10km NE of Aguanga, CA",earthquake,0.42,1.06,0.097,8,automatic,ci,ci
2020-04-29T12:21:41.280Z,37.3391685,-118.3470001,8.78,1.86,md,8,174,0.1112,0.02,nc,nc73378115,2020-04-29T15:25:06.422Z,"5km SE of Bishop, CA",earthquake,0.64,1.04,0.43,5,automatic,nc,nc
2020-04-29T12:18:20.734Z,62.4057,-148.9871,0,1.5,ml,,,,0.95,ak,ak0205inqr06,2020-04-29T12:26:41.118Z,"52km ENE of Y, Alaska",earthquake,,0.2,,,automatic,ak,ak
